STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,18,11,14.04
ARH,2015,1,18,12,14.36
ARH,2015,1,18,13,13.79
ARH,2015,1,18,14,14.43
ARH,2015,1,18,15,15.16
ARH,2015,1,18,16,15.68
ARH,2015,1,18,17,15.15
ARH,2015,1,18,18,14
ARH,2015,1,18,19,15.1
ARH,2015,1,18,20,14.65
ARH,2015,1,18,21,14.48
ARH,2015,1,18,22,14.92
ARH,2015,1,18,23,14.58
ARH,2015,1,19,0,12.92
ARH,2015,1,19,1,12.9
ARH,2015,1,19,2,12.93
ARH,2015,1,19,3,12.91
ARH,2015,1,19,4,14.44
ARH,2015,1,19,5,15.29
ARH,2015,1,19,6,15.53
ARH,2015,1,19,7,15.76
ARH,2015,1,19,8,16.72
ARH,2015,1,19,9,16.82
ARH,2015,1,19,10,16.68
ARH,2015,1,19,11,16.4
ARH,2015,1,19,12,16.29
ARH,2015,1,19,13,16.25
ARH,2015,1,19,14,15.86
ARH,2015,1,19,15,15.52
ARH,2015,1,19,16,15.08
ARH,2015,1,19,17,15.6
ARH,2015,1,19,18,15.82
ARH,2015,1,19,19,15.98
ARH,2015,1,19,20,16.07
ARH,2015,1,19,21,15.97
ARH,2015,1,19,22,15.89
ARH,2015,1,19,23,15.71
ARH,2015,1,20,0,15.4
ARH,2015,1,20,1,15.05
ARH,2015,1,20,2,14.87
ARH,2015,1,20,3,14.8
ARH,2015,1,20,4,14.34
ARH,2015,1,20,5,13.86
ARH,2015,1,20,6,14.51
ARH,2015,1,20,7,14.75
ARH,2015,1,20,8,14.54
ARH,2015,1,20,9,14.49
ARH,2015,1,20,10,15.33
ARH,2015,1,20,11,15.33
ARH,2015,1,20,12,14.73
ARH,2015,1,20,13,14.84
ARH,2015,1,20,14,15.06
ARH,2015,1,20,15,14.76
ARH,2015,1,20,16,15.02
ARH,2015,1,20,17,15.49
ARH,2015,1,20,18,15.24
ARH,2015,1,20,19,17.57
ARH,2015,1,20,20,15.87
ARH,2015,1,20,21,16.37
ARH,2015,1,20,22,17.27
ARH,2015,1,20,23,17.84
ARH,2015,1,21,0,18.11
ARH,2015,1,21,1,19.75
ARH,2015,1,21,2,19.41
ARH,2015,1,21,3,17.94
ARH,2015,1,21,4,19.02
ARH,2015,1,21,5,20.56
ARH,2015,1,21,6,19.99
ARH,2015,1,21,7,16.91
ARH,2015,1,21,8,17.04
ARH,2015,1,21,9,18.56
ARH,2015,1,21,10,18.88
ARH,2015,1,21,11,20.29
ARH,2015,1,21,12,19.69
ARH,2015,1,21,13,18.24
ARH,2015,1,21,14,17.78
ARH,2015,1,21,15,18.62
ARH,2015,1,21,16,19.49
ARH,2015,1,21,17,19.22
ARH,2015,1,21,18,19.45
ARH,2015,1,21,19,19.28
ARH,2015,1,21,20,19.04
ARH,2015,1,21,21,19.05
ARH,2015,1,21,22,19.19
ARH,2015,1,21,23,19.27
ARH,2015,1,22,0,18.97
ARH,2015,1,22,1,18.56
ARH,2015,1,22,2,18.26
ARH,2015,1,22,3,18.24
ARH,2015,1,22,4,18.49
ARH,2015,1,22,5,18.67
ARH,2015,1,22,6,19.28
ARH,2015,1,22,7,19.54
ARH,2015,1,22,8,19.12
ARH,2015,1,22,9,17.37
ARH,2015,1,22,10,17.12
ARH,2015,1,22,11,15.86
ARH,2015,1,22,12,14.35
ARH,2015,1,22,13,14.5
ARH,2015,1,22,14,15.23
ARH,2015,1,22,15,16.31
ARH,2015,1,22,16,17.7
ARH,2015,1,22,17,18.64
ARH,2015,1,22,18,9999.99
ARH,2015,1,22,19,9999.99
ARH,2015,1,22,20,17.83
ARH,2015,1,22,21,18.19
ARH,2015,1,22,22,18.68
ARH,2015,1,22,23,18.26
ARH,2015,1,23,0,18.86
ARH,2015,1,23,1,18.38
ARH,2015,1,23,2,18.64
ARH,2015,1,23,3,19.72
ARH,2015,1,23,4,20.36
ARH,2015,1,23,5,20.86
ARH,2015,1,23,6,20.78
ARH,2015,1,23,7,20.53
ARH,2015,1,23,8,20.62
ARH,2015,1,23,9,20.81
ARH,2015,1,23,10,21.68
ARH,2015,1,23,11,21.04
ARH,2015,1,23,12,20.77
ARH,2015,1,23,13,20.29
ARH,2015,1,23,14,19.21
ARH,2015,1,23,15,18.62
ARH,2015,1,23,16,18.33
ARH,2015,1,23,17,18.41
ARH,2015,1,23,18,18.41
ARH,2015,1,23,19,18.39
ARH,2015,1,23,20,18.52
